Relative Path,File Name,Extension,File Size (bytes),Package,Test,Dimensions (pixels),Colour,Cardinality,Subject,Fingerprint Type,Gender,Eyes,Mouth,Background,Facing,Rotation,Same subject,Same image as,Other,,,RGB_bytes_match,RGBA_bytes_match,BW_bytes_match,bytes_match,skip_bytes_checks
\assets\common,2.data,.data,"844,800",com.gemalto.cogent.test.iris,IrisThreadSafetyTest.testThreadSafetySearch,400x528,RGBA,One,Face,,Woman,Open,Neutral,White,Front,,,,old,,,FALSE,TRUE,FALSE,TRUE,FALSE
\assets\common,2.data,.data,"844,800",com.gemalto.cogent.test.nist,TestFileCreation.testFullFileCreation,400x528,RGBA,One,Face,,Woman,Open,Neutral,White,Front,,,,old,,,FALSE,TRUE,FALSE,TRUE,FALSE
\assets\common,2.data,.data,"844,800",com.gemalto.cogent.test.nist,TestFileCreation.testCreateRecordWithIDC,400x528,RGBA,One,Face,,Woman,Open,Neutral,White,Front,,,,old,,,FALSE,TRUE,FALSE,TRUE,FALSE
\assets\common,2.data,.data,"844,800",com.gemalto.cogent.test.nist,TestFileParsing.testFileReadKnown,400x528,RGBA,One,Face,,Woman,Open,Neutral,White,Front,,,,old,,,FALSE,TRUE,FALSE,TRUE,FALSE
\assets\common,2.data,.data,"844,800",com.gemalto.cogent.test.nist,TestFileParsing.testGetRecords,400x528,RGBA,One,Face,,Woman,Open,Neutral,White,Front,,,,old,,,FALSE,TRUE,FALSE,TRUE,FALSE
\assets\common,2.data,.data,"844,800",com.gemalto.cogent.test.nist,TestFileParsing.testGetTextFields,400x528,RGBA,One,Face,,Woman,Open,Neutral,White,Front,,,,old,,,FALSE,TRUE,FALSE,TRUE,FALSE
\assets\common,2.data,.data,"844,800",com.gemalto.cogent.test.nist,TestFileParsing.testFileReadWriteAllTypes,400x528,RGBA,One,Face,,Woman,Open,Neutral,White,Front,,,,old,,,FALSE,TRUE,FALSE,TRUE,FALSE
\assets\common,2XS2001L02.data,.data,"1,228,800",N/F,N/F,N/F,,,,,,,,,,,,,,,,,,,N/A,TRUE
\assets\common,2_1.bmp,.bmp,"225,078",N/F,N/F,400x560,BW,One,Fingerprint Scan,Loop,,,,,,,,,,,,,,,N/A,TRUE
\assets\common,2_1.data,.data,"224,000",com.gemalto.cogent.test.finger,FingerAPITest.testExtractTemplateAnsi378NegativeMaxMinutiae,400x560,BW,One,Fingerprint Scan,Loop,,,,,,,,2_1.bmp,,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,2_1.data,.data,"224,000",com.gemalto.cogent.test.finger,FingerAPITest.testExtractTemplateAnsi378MaxMinutiaeGreaterThan255,400x560,BW,One,Fingerprint Scan,Loop,,,,,,,,2_1.bmp,,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,2_1.data,.data,"224,000",com.gemalto.cogent.test.finger,FingerAPITest.testExtractTemplateAnsi378MaxMinutiaeZero,400x560,BW,One,Fingerprint Scan,Loop,,,,,,,,2_1.bmp,,,,FALSE,FALSE,TRUE,TRUE,FALSE
