Relative Path,File Name,File Extension,File Size,Package,Test,Dimensions
common,2_1.bmp,.bmp,225078,NF,NF,NF
common,2_1.data,.data,224000,com.gemalto.cogent.test.finger,FingerAPITest.testExtractTemplateAnsi378NegativeMaxMinutiae,400x560
common,2_1.data,.data,224000,com.gemalto.cogent.test.finger,FingerAPITest.testExtractTemplateAnsi378MaxMinutiaeGreaterThan255,400x560
common,2_1.data,.data,224000,com.gemalto.cogent.test.finger,FingerAPITest.testExtractTemplateAnsi378MaxMinutiaeZero,400x560
common,2_1.data,.data,224000,com.gemalto.cogent.test.finger,FingerAPITest.testExtractTemplateISO,400x560
common,2_1.data,.data,224000,com.gemalto.cogent.test.finger,FingerAPITest.testExtractTemplateISONegativeMaxMinutiae,400x560
common,2_1.data,.data,224000,com.gemalto.cogent.test.finger,FingerAPITest.testExtractTemplateISOMaxMinutiaeGreaterThan255,400x560
common,2_1.data,.data,224000,com.gemalto.cogent.test.finger,FingerAPITest.testExtractTemplateISOMaxMinutiaeZero,400x560
common,2_1.data,.data,224000,com.gemalto.cogent.test.finger,FingerAPITest.testExtractTemplateISOCC,400x560
common,2_1.data,.data,224000,com.gemalto.cogent.test.finger,FingerAPITest.testExtractTemplateISOCCNegativeMaxMinutiae,400x560
common,2_1.data,.data,224000,com.gemalto.cogent.test.finger,FingerAPITest.testExtractTemplateISOCCMaxMinutiaeGreaterThan255,400x560
common,2_180.data,.data,844800,NF,NF,NF
common,3-93453.data,.data,844800,NF,NF,NF
common,32_faces.data,.data,2169600,NF,NF,NF
common,32_faces_399by527.data,.data,841092,NF,NF,NF
common,32_faces_400by528.data,.data,844800,NF,NF,NF
common,33_faces.data,.data,2169600,NF,NF,NF
common,3_1.bmp,.bmp,225078,NF,NF,NF
common,3_1.data,.data,224000,com.gemalto.cogent.test.finger,FingerAPITest.testExtractTemplateISOCCMaxMinutiae,400x560
common,3_1_threshold_48.cfd,.cfd,144,NF,NF,NF
common,3_rotate90.data,.data,844800,NF,NF,NF
common,4-33898.data,.data,844800,NF,NF,NF
common,4.data,.data,844800,com.gemalto.cogent.test.facelite,FaceTemplateTest.testAddingTOFaceDBNullTemplate,NF
common,4.data,.data,844800,com.gemalto.cogent.test.nist,TestFileCreation.testFullFileCreation,NF
common,4.data,.data,844800,com.gemalto.cogent.test.nist,TestFileParsing.testFileReadKnown,NF
common,4.data,.data,844800,com.gemalto.cogent.test.nist,TestFileParsing.testFileReadWriteAllTypes,NF
common,4Slap_Left.data,.data,60060,NF,NF,NF
common,4Slap_Right.data,.data,120120,NF,NF,NF
common,4_1.bmp,.bmp,225078,NF,NF,NF
common,4_1.data,.data,224000,com.gemalto.cogent.test.face,FaceAPITest.testAttribute,658x956
common,4_1.data,.data,224000,com.gemalto.cogent.test.face,FaceAPITest.testFeatureExtract,658x956
common,4_1.data,.data,224000,com.gemalto.cogent.test.face,FaceAPITest.testVerify,658x956
common,4_1.data,.data,224000,com.gemalto.cogent.test.face,FaceAPITest.testMatchQuality,658x956
common,4_rotate270.data,.data,844800,NF,NF,NF
common,5-66651.data,.data,844800,NF,NF,NF
common,5.data,.data,844800,com.gemalto.cogent.test.nist,TestFileCreation.testFullFileCreation,NF
common,5.data,.data,844800,com.gemalto.cogent.test.nist,TestFileCreation.testFileCreationDisableAutoIDC1,NF
common,5.data,.data,844800,com.gemalto.cogent.test.nist,TestFileCreation.testFileCreationDisableAutoIDC2,NF
common,5.data,.data,844800,com.gemalto.cogent.test.nist,TestFileCreation.testFileCustomFieldNumberCreate,NF
