common,1.data,.data,
common,11-58806.data,.data,
common,11.data,.data,
common,12-54566.data,.data,
common,12.data,.data,
common,123456789987654123123456789987654321.data,.data,"Color
1 face
Girl
glasses"
common,14-62859.data,.data,
common,14.data,.data,
common,15-42991.data,.data,
common,15.data,.data,
common,17_face.data,.data,
common,1_1.bmp,.bmp,"black and White
one finger
400*560"
common,1_1.data,.data,"black and White
one finger
400*560"
common,1_1_scaled_1000_to_500.data,.data,"black and white
two fingers (same)
200*280"
common,1_1_scaled_500_to_600.data,.data,"black and white
two fingers
480*672"
common,2.data,.data,One face
common,2XS2001L02.data,.data,
common,2_1.bmp,.bmp,
common,2_1.data,.data,"black and White
one finger
400*560"
common,2_180.data,.data,
common,3-93453.data,.data,
common,32_faces.data,.data,
common,32_faces_399by527.data,.data,
common,32_faces_400by528.data,.data,
common,33_faces.data,.data,
common,3_1.bmp,.bmp,
common,3_1.data,.data,"black and White
one finger
400*560"
common,3_1_threshold_48.cfd,.cfd,
common,3_rotate90.data,.data,
common,4-33898.data,.data,
common,4.data,.data,
common,4Slap_Left.data,.data,
common,4Slap_Right.data,.data,
common,4_1.bmp,.bmp,
common,4_1.data,.data,
common,4_rotate270.data,.data,
common,5-66651.data,.data,
common,5.data,.data,
common,5_1.bmp,.bmp,
common,5_1.data,.data,
common,7-98707.data,.data,
common,7.data,.data,
common,8-68682.data,.data,
common,8.data,.data,
common,8face.data,.data,"Color
8 faces for the same person
400*528
Girl"
common,9_faces.data,.data,"Color
9 faces for the same person
400*528
Girl"
common,AESDBFace_test,-,
common,AESFacetest,-,
common,bigSize1500x1200.wsq,.wsq,"black and white
4 right slap
1500*1200"
common,childISO.data,.data,"color
face
child
boy
412*550"
common,Clean1upEnc,-,
common,closed_eyes.data,.data,
common,closed_right_eye.data,.data,
common,corruptDBFace,-,
common,eye1.data,.data,"black and white
left iris
640*480"
common,eye10.data,.data,"black and white
right iris
640*480"
common,eye2.data,.data,"black and white
right iris
640*480"
common,eye3.data,.data,"black and white
left iris
640*480"
common,eye4.data,.data,"black and white
right iris
640*480"
common,eye5.data,.data,"black and white
left iris
640*480"
common,eye6.data,.data,"black and white
right iris
640*480"
common,eye7.data,.data,"black and white
left iris
640*480"
common,eye8.data,.data,"black and white
right iris
640*480"
common,eye9.data,.data,"black and white
left iris
640*480"
common,face1.data,.data,"color
woman
old
mouth closed
400*528"
common,face1.yuv,.yuv,"color
woman
old
mouth closed
400*528"
common,face1_180.yuv,.yuv,"color
woman
old
mouth closed
400*528
rotated 180"
